1,2,layer,prompt_id
-447.75,-446.75,11,p004
-446.75,-445.75,12,p004
-446.25,-445.25,13,p004
-444.0,-443.0,14,p004
-442.5,-441.5,15,p004
-440.0,-438.75,16,p004
-438.25,-437.0,17,p004
-438.25,-437.0,18,p004
-438.25,-437.25,19,p004
-437.25,-436.5,20,p004
-436.75,-435.75,21,p004
-436.25,-435.25,22,p004
-435.5,-434.5,23,p004
-433.75,-432.75,24,p004
-431.0,-430.25,25,p004
-430.25,-429.5,26,p004
-404.25,-403.75,27,p004
-465.0,-464.0,0,p005
-459.75,-458.75,1,p005
-457.75,-456.5,2,p005
-456.0,-454.75,3,p005
-454.25,-453.25,4,p005
-452.75,-451.5,5,p005
-452.25,-451.25,6,p005
-451.25,-450.0,7,p005
-451.25,-450.25,8,p005
-449.75,-448.75,9,p005
-448.0,-447.0,10,p005
-447.25,-446.25,11,p005
-446.25,-445.25,12,p005
-445.75,-444.75,13,p005
-443.5,-442.5,14,p005
-442.0,-441.0,15,p005
-439.5,-438.25,16,p005
-437.75,-436.5,17,p005
-437.75,-436.75,18,p005
-437.5,-436.75,19,p005
-436.75,-436.0,20,p005
-436.25,-435.25,21,p005
-435.5,-434.75,22,p005
-435.0,-434.0,23,p005
-433.0,-432.25,24,p005
-430.5,-429.75,25,p005
-429.75,-429.0,26,p005
-403.75,-403.25,27,p005
-465.5,-464.5,0,p006
-460.5,-459.5,1,p006
-458.25,-457.25,2,p006
-456.5,-455.5,3,p006
-455.0,-453.75,4,p006
-453.25,-452.25,5,p006
-453.0,-452.0,6,p006
-451.75,-450.75,7,p006
-451.75,-450.75,8,p006
-450.25,-449.25,9,p006
-448.5,-447.5,10,p006
-447.75,-446.75,11,p006
-446.75,-445.75,12,p006
-446.5,-445.5,13,p006
-444.25,-443.0,14,p006
-442.75,-441.75,15,p006
-440.0,-438.75,16,p006
-438.25,-437.25,17,p006
-438.25,-437.25,18,p006
-438.25,-437.25,19,p006
-437.5,-436.5,20,p006
-436.75,-435.75,21,p006
-436.25,-435.25,22,p006
-435.5,-434.75,23,p006
-433.75,-433.0,24,p006
-431.25,-430.5,25,p006
-430.25,-429.75,26,p006
-404.0,-403.5,27,p006
-465.25,-464.25,0,p007
-459.75,-458.75,1,p007
-457.75,-456.5,2,p007
-455.75,-454.75,3,p007
-454.25,-453.25,4,p007
-452.5,-451.5,5,p007
-452.25,-451.25,6,p007
-451.0,-450.0,7,p007
-451.0,-450.0,8,p007
-449.5,-448.5,9,p007
-447.75,-446.75,10,p007
-447.0,-446.0,11,p007
-446.0,-445.0,12,p007
-445.5,-444.5,13,p007
-443.25,-442.25,14,p007
-441.75,-440.75,15,p007
-439.0,-438.0,16,p007
-437.5,-436.25,17,p007
-437.5,-436.25,18,p007
-437.25,-436.5,19,p007
-436.5,-435.75,20,p007
-436.0,-435.0,21,p007
-435.25,-434.5,22,p007
-434.75,-433.75,23,p007
-433.0,-432.0,24,p007
-430.5,-429.75,25,p007
-429.5,-428.75,26,p007
-403.5,-403.0,27,p007
-465.25,-464.25,0,p008
-460.0,-459.0,1,p008
-457.75,-456.75,2,p008
-456.0,-455.0,3,p008
-454.5,-453.25,4,p008
-452.75,-451.75,5,p008
-452.5,-451.25,6,p008
-451.25,-450.0,7,p008
-451.25,-450.25,8,p008
-449.75,-448.75,9,p008
-448.0,-447.0,10,p008
-447.25,-446.25,11,p008
-446.25,-445.25,12,p008
-445.75,-444.75,13,p008
-443.5,-442.5,14,p008
-442.0,-441.0,15,p008
-439.25,-438.25,16,p008
-437.5,-436.5,17,p008
-437.5,-436.5,18,p008
-437.5,-436.5,19,p008
-436.75,-435.75,20,p008
-436.25,-435.25,21,p008
-435.5,-434.75,22,p008
-435.0,-434.0,23,p008
-433.25,-432.5,24,p008
-430.75,-430.0,25,p008
-429.5,-429.0,26,p008
-404.0,-403.5,27,p008
-465.5,-464.5,0,p009
-460.25,-459.25,1,p009
-458.0,-457.0,2,p009
-456.25,-455.25,3,p009
-454.75,-453.75,4,p009
-453.0,-452.0,5,p009
-452.75,-451.75,6,p009
-451.5,-450.5,7,p009
-451.75,-450.5,8,p009
-450.0,-449.0,9,p009
-448.25,-447.25,10,p009
-447.5,-446.5,11,p009
-446.5,-445.75,12,p009
-446.25,-445.25,13,p009
-444.0,-443.0,14,p009
-442.5,-441.5,15,p009
-440.0,-438.75,16,p009
-438.25,-437.0,17,p009
-438.25,-437.0,18,p009
-438.0,-437.25,19,p009
-437.25,-436.5,20,p009
-436.75,-435.75,21,p009
-436.0,-435.25,22,p009
-435.5,-434.5,23,p009
-433.5,-432.75,24,p009
-431.0,-430.25,25,p009
-430.25,-429.5,26,p009
-404.0,-403.5,27,p009
-465.25,-464.25,0,p010
-459.75,-458.75,1,p010
-457.5,-456.5,2,p010
-455.75,-454.75,3,p010
-454.25,-453.25,4,p010
-452.5,-451.5,5,p010
-452.25,-451.25,6,p010
-451.0,-450.0,7,p010
-451.25,-450.0,8,p010
-449.75,-448.5,9,p010
-447.75,-446.75,10,p010
-447.0,-446.25,11,p010
-446.25,-445.25,12,p010
-445.75,-444.75,13,p010
-443.5,-442.5,14,p010
-442.0,-441.0,15,p010
-439.25,-438.25,16,p010
-437.5,-436.5,17,p010
-437.5,-436.5,18,p010
-437.5,-436.5,19,p010
-436.75,-435.75,20,p010
-436.0,-435.25,21,p010
-435.5,-434.75,22,p010
-434.75,-434.0,23,p010
-433.0,-432.25,24,p010
-430.5,-429.75,25,p010
-429.75,-429.0,26,p010
-403.75,-403.25,27,p010
